DATE_ID,FULL_DATE,DAY_VALUE,WEEKDAY_NAME,IS_WEEKDAY,MONTH_VALUE,MONTH_NAME,FIRST_DAY_OF_MONTH,LAST_DAY_OF_MONTH,QUARTER_VALUE,FIRST_DAY_OF_QUARTER,LAST_DAY_OF_QUARTER,FIRST_DAY_OF_YEAR,LAST_DAY_OF_YEAR
20190618,2019-06-18,18,Tuesday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190619,2019-06-19,19,Wednesday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190620,2019-06-20,20,Thursday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190621,2019-06-21,21,Friday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190622,2019-06-22,22,Saturday,0,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190623,2019-06-23,23,Sunday,0,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190624,2019-06-24,24,Monday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190625,2019-06-25,25,Tuesday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190626,2019-06-26,26,Wednesday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190627,2019-06-27,27,Thursday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190628,2019-06-28,28,Friday,1,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190629,2019-06-29,29,Saturday,0,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190630,2019-06-30,30,Sunday,0,6,June,20190601,20190630,2,20190401,20190630,20190101,20191231
20190701,2019-07-01,1,Monday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190702,2019-07-02,2,Tuesday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190703,2019-07-03,3,Wednesday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190704,2019-07-04,4,Thursday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190705,2019-07-05,5,Friday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190706,2019-07-06,6,Saturday,0,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190707,2019-07-07,7,Sunday,0,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190708,2019-07-08,8,Monday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190709,2019-07-09,9,Tuesday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190710,2019-07-10,10,Wednesday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190711,2019-07-11,11,Thursday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190712,2019-07-12,12,Friday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190713,2019-07-13,13,Saturday,0,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190714,2019-07-14,14,Sunday,0,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190715,2019-07-15,15,Monday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190716,2019-07-16,16,Tuesday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190717,2019-07-17,17,Wednesday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190718,2019-07-18,18,Thursday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190719,2019-07-19,19,Friday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190720,2019-07-20,20,Saturday,0,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190721,2019-07-21,21,Sunday,0,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190722,2019-07-22,22,Monday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190723,2019-07-23,23,Tuesday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190724,2019-07-24,24,Wednesday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190725,2019-07-25,25,Thursday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190726,2019-07-26,26,Friday,1,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190727,2019-07-27,27,Saturday,0,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
20190728,2019-07-28,28,Sunday,0,7,July,20190701,20190731,3,20190701,20190930,20190101,20191231
