DATE_ID,FULL_DATE,WEEKDAY,MONTH_VALUE,FIRST_DAY_OF_MONTH,LAST_DAY_OF_MONTH,QUARTER_VALUE,FIRST_DAY_OF_QUARTER,LAST_DAY_OF_QUARTER,FIRST_DAY_OF_YEAR,LAST_DAY_OF_YEAR
20190901,2019-09-01,0,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190902,2019-09-02,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190903,2019-09-03,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190904,2019-09-04,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190905,2019-09-05,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190906,2019-09-06,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190907,2019-09-07,0,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190908,2019-09-08,0,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190909,2019-09-09,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190910,2019-09-10,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190911,2019-09-11,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190912,2019-09-12,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190913,2019-09-13,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190914,2019-09-14,0,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190915,2019-09-15,0,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190916,2019-09-16,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190917,2019-09-17,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190918,2019-09-18,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190919,2019-09-19,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190920,2019-09-20,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190921,2019-09-21,0,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190922,2019-09-22,0,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190923,2019-09-23,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190924,2019-09-24,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190925,2019-09-25,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190926,2019-09-26,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190927,2019-09-27,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190928,2019-09-28,0,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190929,2019-09-29,0,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20190930,2019-09-30,1,9,20190901,20190930,3,20190701,20190930,20190101,20191231
20191001,2019-10-01,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191002,2019-10-02,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191003,2019-10-03,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191004,2019-10-04,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191005,2019-10-05,0,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191006,2019-10-06,0,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191007,2019-10-07,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191008,2019-10-08,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191009,2019-10-09,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191010,2019-10-10,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191011,2019-10-11,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191012,2019-10-12,0,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191013,2019-10-13,0,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191014,2019-10-14,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191015,2019-10-15,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191016,2019-10-16,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191017,2019-10-17,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191018,2019-10-18,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191019,2019-10-19,0,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191020,2019-10-20,0,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191021,2019-10-21,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191022,2019-10-22,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191023,2019-10-23,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191024,2019-10-24,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191025,2019-10-25,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191026,2019-10-26,0,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191027,2019-10-27,0,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191028,2019-10-28,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191029,2019-10-29,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191030,2019-10-30,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191031,2019-10-31,1,10,20191001,20191031,4,20191001,20191231,20190101,20191231
20191101,2019-11-01,1,11,20191101,20191130,4,20191001,20191231,20190101,20191231
20191102,2019-11-02,0,11,20191101,20191130,4,20191001,20191231,20190101,20191231
20191103,2019-11-03,0,11,20191101,20191130,4,20191001,20191231,20190101,20191231
20191104,2019-11-04,1,11,20191101,20191130,4,20191001,20191231,20190101,20191231
20191105,2019-11-05,1,11,20191101,20191130,4,20191001,20191231,20190101,20191231
20191106,2019-11-06,1,11,20191101,20191130,4,20191001,20191231,20190101,20191231
20191107,2019-11-07,1,11,20191101,20191130,4,20191001,20191231,20190101,20191231
20191108,2019-11-08,1,11,20191101,20191130,4,20191001,20191231,20190101,20191231
20191109,2019-11-09,0,11,20191101,20191130,4,20191001,20191231,20190101,20191231
20191110,2019-11-10,0,11,20191101,20191130,4,20191001,20191231,20190101,20191231
20191111,2019-11-11,1,11,20191101,20191130,4,20191001,20191231,20190101,20191231
20191112,2019-11-12,1,11,20191101,20191130,4,20191001,20191231,20190101,20191231
20191113,2019-11-13,1,11,20191101,20191130,4,20191001,20191231,20190101,20191231
